###############################################################################################
#  The following is a listing of the event catalog processing status for year 1972
#  Historically, SCSN analysts have made an effort to review every event in    
#  our catalog. With the growth of the network and catalog, however, complete  
#  review has become more difficult with our limited staff. This is            
#  particularly true of the 2019 Ridgecrest sequence, which remains largely    
#  unreviewed below M2.5.
#  Below we provide information about the review status of the SCSN local event
#  catalog. We hope our catalog users will find this additional context useful.
#  Finalized events have undergone full review and analysis and are unlikely to
#  change. Subnet triggers are collections of phase picks that the real-time   
#  system could not associate into an event. Some of the triggers may be events
#  that are later added to the catalog, although most are just noise. Lastly,  
#  events are sometimes added to the catalog as part of the review process, so 
#  the total number of events can increase. 
# 
#  catalog_date:       The day in UTC time which events occurred. 
#  pct_complete:       Finalized events/(finalized + unreviewed + partial reviewed events) as % 
#                        NaN in this column means there were no events in this day.
#  unreviewed:         Number of real time detected events that have not gone through any review
#  incomplete:         Number of events that have gone through partial review
#  subtrig_cnt:        Number of subnet triggers 
#  max_unreviewed_mag: Highest magnitude of unreviewed event on this day in the catalog
#                        NA in this column means there were no unreviewed events in this day
###############################################################################################
#   
#catalog_date, pct_complete, unreviewed, incomplete, subtrig_cnt, max_unreviewed_mag
1972/01/01,100.0,0,0,0,NA
1972/01/02,100.0,0,0,0,NA
1972/01/03,NaN,0,0,0,NA
1972/01/04,NaN,0,0,0,NA
1972/01/05,NaN,0,0,0,NA
1972/01/06,100.0,0,0,0,NA
1972/01/07,100.0,0,0,0,NA
1972/01/08,NaN,0,0,0,NA
1972/01/09,100.0,0,0,0,NA
1972/01/10,100.0,0,0,0,NA
1972/01/11,90.0,0,1,0,NA
1972/01/12,100.0,0,0,0,NA
1972/01/13,NaN,0,0,0,NA
1972/01/14,0.0,0,1,0,NA
1972/01/15,NaN,0,0,0,NA
1972/01/16,NaN,0,0,0,NA
1972/01/17,100.0,0,0,0,NA
1972/01/18,NaN,0,0,0,NA
1972/01/19,100.0,0,0,0,NA
1972/01/20,100.0,0,0,0,NA
1972/01/21,NaN,0,0,0,NA
1972/01/22,NaN,0,0,0,NA
1972/01/23,NaN,0,0,0,NA
1972/01/24,100.0,0,0,0,NA
1972/01/25,100.0,0,0,0,NA
1972/01/26,100.0,0,0,0,NA
1972/01/27,NaN,0,0,0,NA
1972/01/28,100.0,0,0,0,NA
1972/01/29,100.0,0,0,0,NA
1972/01/30,NaN,0,0,0,NA
1972/01/31,100.0,0,0,0,NA
1972/02/01,NaN,0,0,0,NA
1972/02/02,100.0,0,0,0,NA
1972/02/03,100.0,0,0,0,NA
1972/02/04,NaN,0,0,0,NA
1972/02/05,100.0,0,0,0,NA
1972/02/06,100.0,0,0,0,NA
1972/02/07,100.0,0,0,0,NA
1972/02/08,100.0,0,0,0,NA
1972/02/09,100.0,0,0,0,NA
1972/02/10,100.0,0,0,0,NA
1972/02/11,100.0,0,0,0,NA
1972/02/12,100.0,0,0,0,NA
1972/02/13,100.0,0,0,0,NA
1972/02/14,NaN,0,0,0,NA
1972/02/15,100.0,0,0,0,NA
1972/02/16,100.0,0,0,0,NA
1972/02/17,50.0,0,1,0,NA
1972/02/18,NaN,0,0,0,NA
1972/02/19,100.0,0,0,0,NA
1972/02/20,100.0,0,0,0,NA
1972/02/21,100.0,0,0,0,NA
1972/02/22,NaN,0,0,0,NA
1972/02/23,100.0,0,0,0,NA
1972/02/24,NaN,0,0,0,NA
1972/02/25,66.7,0,1,0,NA
1972/02/26,100.0,0,0,0,NA
1972/02/27,50.0,0,1,0,NA
1972/02/28,100.0,0,0,0,NA
1972/02/29,100.0,0,0,0,NA
1972/03/01,100.0,0,0,0,NA
1972/03/02,50.0,0,1,0,NA
1972/03/03,NaN,0,0,0,NA
1972/03/04,100.0,0,0,0,NA
1972/03/05,0.0,0,1,0,NA
1972/03/06,80.0,0,1,0,NA
1972/03/07,100.0,0,0,0,NA
1972/03/08,NaN,0,0,0,NA
1972/03/09,100.0,0,0,0,NA
1972/03/10,NaN,0,0,0,NA
1972/03/11,100.0,0,0,0,NA
1972/03/12,100.0,0,0,0,NA
1972/03/13,100.0,0,0,0,NA
1972/03/14,0.0,0,1,0,NA
1972/03/15,100.0,0,0,0,NA
1972/03/16,NaN,0,0,0,NA
1972/03/17,100.0,0,0,0,NA
1972/03/18,100.0,0,0,0,NA
1972/03/19,100.0,0,0,0,NA
1972/03/20,NaN,0,0,0,NA
1972/03/21,100.0,0,0,0,NA
1972/03/22,100.0,0,0,0,NA
1972/03/23,100.0,0,0,0,NA
1972/03/24,100.0,0,0,0,NA
1972/03/25,100.0,0,0,0,NA
1972/03/26,100.0,0,0,0,NA
1972/03/27,100.0,0,0,0,NA
1972/03/28,100.0,0,0,0,NA
1972/03/29,100.0,0,0,0,NA
1972/03/30,100.0,0,0,0,NA
1972/03/31,100.0,0,0,0,NA
1972/04/01,100.0,0,0,0,NA
1972/04/02,100.0,0,0,0,NA
1972/04/03,25.0,0,3,0,NA
1972/04/04,100.0,0,0,0,NA
1972/04/05,87.5,0,1,0,NA
1972/04/06,100.0,0,0,0,NA
1972/04/07,83.3,0,1,0,NA
1972/04/08,50.0,0,1,0,NA
1972/04/09,100.0,0,0,0,NA
1972/04/10,50.0,0,3,0,NA
1972/04/11,33.3,0,2,0,NA
1972/04/12,100.0,0,0,0,NA
1972/04/13,0.0,0,1,0,NA
1972/04/14,100.0,0,0,0,NA
1972/04/15,NaN,0,0,0,NA
1972/04/16,100.0,0,0,0,NA
1972/04/17,100.0,0,0,0,NA
1972/04/18,100.0,0,0,0,NA
1972/04/19,NaN,0,0,0,NA
1972/04/20,100.0,0,0,0,NA
