###############################################################################################
#  The following is a listing of the event catalog processing status for year 2000
#  Historically, SCSN analysts have made an effort to review every event in    
#  our catalog. With the growth of the network and catalog, however, complete  
#  review has become more difficult with our limited staff. This is            
#  particularly true of the 2019 Ridgecrest sequence, which remains largely    
#  unreviewed below M2.5.
#  Below we provide information about the review status of the SCSN local event
#  catalog. We hope our catalog users will find this additional context useful.
#  Finalized events have undergone full review and analysis and are unlikely to
#  change. Subnet triggers are collections of phase picks that the real-time   
#  system could not associate into an event. Some of the triggers may be events
#  that are later added to the catalog, although most are just noise. Lastly,  
#  events are sometimes added to the catalog as part of the review process, so 
#  the total number of events can increase. 
# 
#  catalog_date:       The day in UTC time which events occurred. 
#  pct_complete:       Finalized events/(finalized + unreviewed + partial reviewed events) as % 
#                        NaN in this column means there were no events in this day.
#  unreviewed:         Number of real time detected events that have not gone through any review
#  incomplete:         Number of events that have gone through partial review
#  subtrig_cnt:        Number of subnet triggers 
#  max_unreviewed_mag: Highest magnitude of unreviewed event on this day in the catalog
#                        NA in this column means there were no unreviewed events in this day
###############################################################################################
#   
#catalog_date, pct_complete, unreviewed, incomplete, subtrig_cnt, max_unreviewed_mag
2000/01/01,98.8,0,1,0,NA
2000/01/02,100.0,0,0,0,NA
2000/01/03,100.0,0,0,0,NA
2000/01/04,100.0,0,0,0,NA
2000/01/05,97.7,0,2,0,NA
2000/01/06,98.6,0,1,0,NA
2000/01/07,100.0,0,0,0,NA
2000/01/08,100.0,0,0,0,NA
2000/01/09,98.5,0,1,0,NA
2000/01/10,99.0,0,1,0,NA
2000/01/11,100.0,0,0,0,NA
2000/01/12,98.8,0,1,0,NA
2000/01/13,96.2,0,3,0,NA
2000/01/14,99.0,0,1,0,NA
2000/01/15,97.5,0,2,0,NA
2000/01/16,100.0,0,0,0,NA
2000/01/17,95.5,0,3,0,NA
2000/01/18,100.0,0,0,0,NA
2000/01/19,100.0,0,0,0,NA
2000/01/20,100.0,0,0,0,NA
2000/01/21,100.0,0,0,0,NA
2000/01/22,100.0,0,0,0,NA
2000/01/23,98.8,0,1,0,NA
2000/01/24,97.2,0,2,0,NA
2000/01/25,100.0,0,0,0,NA
2000/01/26,92.2,0,7,0,NA
2000/01/27,98.8,0,1,0,NA
2000/01/28,100.0,0,0,0,NA
2000/01/29,98.9,0,1,0,NA
2000/01/30,98.8,0,1,0,NA
2000/01/31,98.6,1,0,0,2.55
2000/02/01,100.0,0,0,0,NA
2000/02/02,97.4,0,2,0,NA
2000/02/03,100.0,0,0,0,NA
2000/02/04,100.0,0,0,0,NA
2000/02/05,100.0,0,0,0,NA
2000/02/06,100.0,0,0,0,NA
2000/02/07,100.0,0,0,0,NA
2000/02/08,97.3,0,2,0,NA
2000/02/09,100.0,0,0,0,NA
2000/02/10,100.0,0,0,0,NA
2000/02/11,100.0,0,0,0,NA
2000/02/12,98.6,1,0,0,0
2000/02/13,91.4,0,3,0,NA
2000/02/14,96.2,0,3,0,NA
2000/02/15,98.6,0,1,0,NA
2000/02/16,98.6,0,1,0,NA
2000/02/17,100.0,0,0,0,NA
2000/02/18,100.0,0,0,0,NA
2000/02/19,100.0,0,0,0,NA
2000/02/20,96.5,1,1,0,0
2000/02/21,98.2,0,1,0,NA
2000/02/22,98.4,0,1,0,NA
2000/02/23,100.0,0,0,0,NA
2000/02/24,95.2,0,2,0,NA
2000/02/25,98.2,0,1,0,NA
2000/02/26,98.7,0,1,0,NA
2000/02/27,97.9,0,1,0,NA
2000/02/28,96.2,0,2,0,NA
2000/02/29,96.2,0,3,0,NA
2000/03/01,98.6,0,1,0,NA
2000/03/02,97.2,0,2,0,NA
2000/03/03,98.7,0,1,0,NA
2000/03/04,98.5,0,1,0,NA
2000/03/05,96.8,0,2,0,NA
2000/03/06,93.3,1,2,0,1.68
2000/03/07,100.0,0,0,0,NA
2000/03/08,98.1,0,1,0,NA
2000/03/09,98.4,0,1,0,NA
2000/03/10,100.0,0,0,0,NA
2000/03/11,96.2,0,3,0,NA
2000/03/12,100.0,0,0,0,NA
2000/03/13,98.3,1,0,0,1.12
2000/03/14,100.0,0,0,0,NA
2000/03/15,100.0,0,0,0,NA
2000/03/16,100.0,0,0,0,NA
2000/03/17,100.0,0,0,0,NA
2000/03/18,100.0,0,0,0,NA
2000/03/19,100.0,0,0,0,NA
2000/03/20,97.7,0,1,0,NA
2000/03/21,100.0,0,0,0,NA
2000/03/22,88.2,0,6,0,NA
2000/03/23,97.9,0,1,0,NA
2000/03/24,100.0,0,0,0,NA
2000/03/25,100.0,0,0,0,NA
2000/03/26,89.7,0,7,0,NA
2000/03/27,95.7,0,2,0,NA
2000/03/28,97.4,0,2,0,NA
2000/03/29,97.1,0,3,0,NA
2000/03/30,98.4,0,1,0,NA
2000/03/31,51.7,12,17,0,2.37
