###############################################################################################
#  The following is a listing of the event catalog processing status for year 2020
#  Historically, SCSN analysts have made an effort to review every event in    
#  our catalog. With the growth of the network and catalog, however, complete  
#  review has become more difficult with our limited staff. This is            
#  particularly true of the 2019 Ridgecrest sequence, which remains largely    
#  unreviewed below M2.5.
#  Below we provide information about the review status of the SCSN local event
#  catalog. We hope our catalog users will find this additional context useful.
#  Finalized events have undergone full review and analysis and are unlikely to
#  change. Subnet triggers are collections of phase picks that the real-time   
#  system could not associate into an event. Some of the triggers may be events
#  that are later added to the catalog, although most are just noise. Lastly,  
#  events are sometimes added to the catalog as part of the review process, so 
#  the total number of events can increase. 
# 
#  catalog_date:       The day in UTC time which events occurred. 
#  pct_complete:       Finalized events/(finalized + unreviewed + partial reviewed events) as % 
#                        NaN in this column means there were no events in this day.
#  unreviewed:         Number of real time detected events that have not gone through any review
#  incomplete:         Number of events that have gone through partial review
#  subtrig_cnt:        Number of subnet triggers 
#  max_unreviewed_mag: Highest magnitude of unreviewed event on this day in the catalog
#                        NA in this column means there were no unreviewed events in this day
###############################################################################################
#   
#catalog_date, pct_complete, unreviewed, incomplete, subtrig_cnt, max_unreviewed_mag
2020/01/01,78.4,20,1,20,1.32
2020/01/02,58.2,38,0,12,1.59
2020/01/03,57.7,41,0,24,1.42
2020/01/04,62.1,36,0,9,1.49
2020/01/05,57.6,38,1,14,1.49
2020/01/06,54.8,47,0,24,1.49
2020/01/07,65.3,26,0,32,1.46
2020/01/08,44.8,64,0,37,2.09
2020/01/09,53.4,48,0,20,1.94
2020/01/10,46.2,50,0,15,2.1
2020/01/11,44.2,43,0,15,2.11
2020/01/12,65.4,37,0,3,2.2
2020/01/13,59.3,33,0,12,2.26
2020/01/14,59.6,38,0,12,1.5
2020/01/15,58.7,43,0,26,2.17
2020/01/16,64.2,34,0,12,2.08
2020/01/17,62.4,35,0,4,2.15
2020/01/18,67.1,26,0,1,2.11
2020/01/19,50.8,29,0,7,2.31
2020/01/20,58.7,26,0,3,2.31
2020/01/21,68.0,24,0,6,2.11
2020/01/22,66.0,35,1,22,2.34
2020/01/23,68.4,37,0,1,2.34
2020/01/24,64.4,24,2,8,1.7
2020/01/25,59.5,30,2,11,1.52
2020/01/26,65.1,22,0,12,1.85
2020/01/27,58.1,35,1,19,1.58
2020/01/28,64.4,31,0,2,2.09
2020/01/29,66.1,19,1,3,1.97
2020/01/30,61.3,29,0,15,2.31
2020/01/31,70.3,22,0,7,2.34
2020/02/01,100.0,0,0,0,NA
2020/02/02,80.2,25,1,1,1.37
2020/02/03,70.3,19,0,1,1.99
2020/02/04,81.4,13,0,2,1.74
2020/02/05,85.7,13,0,3,1.99
2020/02/06,62.4,32,0,3,1.54
2020/02/07,68.9,32,0,4,2.1
2020/02/08,70.0,27,0,0,1.98
2020/02/09,71.4,15,1,1,2.18
2020/02/10,92.7,3,0,0,1.15
2020/02/11,77.1,16,0,0,1.71
2020/02/12,64.0,36,0,1,1.8
2020/02/13,65.6,33,0,1,2.3
2020/02/14,62.0,34,1,3,2.31
2020/02/15,37.8,56,0,9,1.85
2020/02/16,51.2,39,0,10,2.12
2020/02/17,71.2,23,0,13,2.11
2020/02/18,68.7,26,0,20,2.25
2020/02/19,57.4,40,0,6,2.24
2020/02/20,58.8,42,0,13,2.29
2020/02/21,97.8,2,0,13,1.67
2020/02/22,86.6,13,0,4,1.77
2020/02/23,84.3,11,0,0,1.43
2020/02/24,72.2,21,1,0,2.12
2020/02/25,85.5,11,0,1,1.64
2020/02/26,100.0,0,0,1,NA
2020/02/27,75.0,27,1,0,1.96
2020/02/28,44.4,40,0,4,1.85
2020/02/29,87.0,9,0,0,1.97
2020/03/01,100.0,0,0,0,NA
2020/03/02,100.0,0,0,0,NA
2020/03/03,100.0,0,0,0,NA
2020/03/04,100.0,0,0,0,NA
2020/03/05,100.0,0,0,0,NA
2020/03/06,100.0,0,0,0,NA
2020/03/07,100.0,0,0,0,NA
2020/03/08,100.0,0,0,0,NA
2020/03/09,100.0,0,0,0,NA
2020/03/10,100.0,0,0,0,NA
2020/03/11,100.0,0,0,0,NA
2020/03/12,100.0,0,0,0,NA
2020/03/13,100.0,0,0,0,NA
2020/03/14,100.0,0,0,0,NA
2020/03/15,100.0,0,0,0,NA
2020/03/16,100.0,0,0,0,NA
2020/03/17,100.0,0,0,0,NA
2020/03/18,100.0,0,0,0,NA
2020/03/19,100.0,0,0,0,NA
2020/03/20,100.0,0,0,0,NA
2020/03/21,100.0,0,0,0,NA
2020/03/22,100.0,0,0,0,NA
2020/03/23,100.0,0,0,0,NA
2020/03/24,100.0,0,0,0,NA
2020/03/25,100.0,0,0,0,NA
2020/03/26,100.0,0,0,0,NA
2020/03/27,100.0,0,0,0,NA
2020/03/28,100.0,0,0,0,NA
2020/03/29,100.0,0,0,0,NA
2020/03/30,100.0,0,0,0,NA
2020/03/31,98.0,2,0,2,1.32
2020/04/01,100.0,0,0,0,NA
2020/04/02,100.0,0,0,0,NA
2020/04/03,100.0,0,0,0,NA
2020/04/04,100.0,0,0,0,NA
2020/04/05,48.4,269,0,0,1.44
2020/04/06,100.0,0,0,0,NA
2020/04/07,100.0,0,0,0,NA
2020/04/08,100.0,0,0,0,NA
2020/04/09,100.0,0,0,0,NA
2020/04/10,100.0,0,0,0,NA
2020/04/11,100.0,0,0,0,NA
2020/04/12,100.0,0,0,0,NA
2020/04/13,100.0,0,0,0,NA
2020/04/14,100.0,0,0,0,NA
2020/04/15,100.0,0,0,0,NA
2020/04/16,100.0,0,0,0,NA
2020/04/17,100.0,0,0,0,NA
2020/04/18,100.0,0,0,0,NA
2020/04/19,100.0,0,0,0,NA
2020/04/20,100.0,0,0,0,NA
2020/04/21,100.0,0,0,0,NA
2020/04/22,100.0,0,0,0,NA
2020/04/23,100.0,0,0,0,NA
2020/04/24,100.0,0,0,0,NA
2020/04/25,100.0,0,0,0,NA
2020/04/26,100.0,0,0,0,NA
2020/04/27,100.0,0,0,0,NA
2020/04/28,100.0,0,0,0,NA
2020/04/29,100.0,0,0,0,NA
2020/04/30,100.0,0,0,0,NA
2020/05/01,100.0,0,0,0,NA
2020/05/02,100.0,0,0,0,NA
2020/05/03,100.0,0,0,0,NA
2020/05/04,100.0,0,0,0,NA
2020/05/05,100.0,0,0,0,NA
2020/05/06,100.0,0,0,0,NA
2020/05/07,100.0,0,0,0,NA
2020/05/08,100.0,0,0,0,NA
2020/05/09,100.0,0,0,0,NA
2020/05/10,100.0,0,0,0,NA
2020/05/11,100.0,0,0,0,NA
2020/05/12,100.0,0,0,0,NA
2020/05/13,100.0,0,0,0,NA
2020/05/14,100.0,0,0,0,NA
2020/05/15,100.0,0,0,0,NA
2020/05/16,100.0,0,0,0,NA
2020/05/17,100.0,0,0,0,NA
2020/05/18,100.0,0,0,0,NA
2020/05/19,100.0,0,0,0,NA
2020/05/20,100.0,0,0,0,NA
2020/05/21,100.0,0,0,0,NA
2020/05/22,100.0,0,0,0,NA
2020/05/23,100.0,0,0,0,NA
2020/05/24,100.0,0,0,0,NA
2020/05/25,100.0,0,0,0,NA
2020/05/26,100.0,0,0,0,NA
2020/05/27,100.0,0,0,0,NA
2020/05/28,100.0,0,0,0,NA
2020/05/29,100.0,0,0,0,NA
2020/05/30,100.0,0,0,0,NA
2020/05/31,100.0,0,0,0,NA
2020/06/01,100.0,0,0,0,NA
2020/06/02,100.0,0,0,0,NA
2020/06/03,100.0,0,0,0,NA
2020/06/04,100.0,0,0,0,NA
2020/06/05,100.0,0,0,0,NA
2020/06/06,100.0,0,0,0,NA
2020/06/07,100.0,0,0,0,NA
2020/06/08,100.0,0,0,0,NA
2020/06/09,100.0,0,0,0,NA
2020/06/10,100.0,0,0,0,NA
2020/06/11,100.0,0,0,0,NA
2020/06/12,100.0,0,0,0,NA
2020/06/13,100.0,0,0,0,NA
2020/06/14,100.0,0,0,0,NA
2020/06/15,100.0,0,0,0,NA
2020/06/16,100.0,0,0,0,NA
2020/06/17,95.5,0,4,0,NA
2020/06/18,97.4,0,2,0,NA
2020/06/19,97.8,0,2,0,NA
2020/06/20,100.0,0,0,0,NA
2020/06/21,99.0,0,1,0,NA
2020/06/22,100.0,0,0,0,NA
2020/06/23,99.4,0,1,0,NA
2020/06/24,89.2,0,39,0,NA
2020/06/25,94.8,0,21,0,NA
2020/06/26,88.9,0,23,0,NA
2020/06/27,96.2,0,6,0,NA
2020/06/28,100.0,0,0,0,NA
2020/06/29,97.8,2,0,0,0.84
2020/06/30,40.8,48,10,0,2.31
2020/07/01,100.0,0,0,0,NA
2020/07/02,100.0,0,0,0,NA
2020/07/03,100.0,0,0,0,NA
2020/07/04,100.0,0,0,0,NA
2020/07/05,100.0,0,0,0,NA
2020/07/06,100.0,0,0,0,NA
2020/07/07,100.0,0,0,0,NA
2020/07/08,100.0,0,0,0,NA
2020/07/09,100.0,0,0,0,NA
2020/07/10,100.0,0,0,0,NA
2020/07/11,100.0,0,0,0,NA
2020/07/12,100.0,0,0,0,NA
2020/07/13,100.0,0,0,0,NA
2020/07/14,100.0,0,0,0,NA
2020/07/15,100.0,0,0,0,NA
2020/07/16,100.0,0,0,0,NA
2020/07/17,100.0,0,0,0,NA
2020/07/18,100.0,0,0,0,NA
2020/07/19,100.0,0,0,0,NA
2020/07/20,100.0,0,0,0,NA
2020/07/21,100.0,0,0,0,NA
2020/07/22,100.0,0,0,0,NA
2020/07/23,100.0,0,0,0,NA
2020/07/24,100.0,0,0,0,NA
2020/07/25,100.0,0,0,0,NA
2020/07/26,100.0,0,0,0,NA
2020/07/27,100.0,0,0,0,NA
2020/07/28,100.0,0,0,0,NA
2020/07/29,100.0,0,0,0,NA
