###############################################################################################
#  The following is a listing of the event catalog processing status for year 2001
#  Historically, SCSN analysts have made an effort to review every event in    
#  our catalog. With the growth of the network and catalog, however, complete  
#  review has become more difficult with our limited staff. This is            
#  particularly true of the 2019 Ridgecrest sequence, which remains largely    
#  unreviewed below M2.5.
#  Below we provide information about the review status of the SCSN local event
#  catalog. We hope our catalog users will find this additional context useful.
#  Finalized events have undergone full review and analysis and are unlikely to
#  change. Subnet triggers are collections of phase picks that the real-time   
#  system could not associate into an event. Some of the triggers may be events
#  that are later added to the catalog, although most are just noise. Lastly,  
#  events are sometimes added to the catalog as part of the review process, so 
#  the total number of events can increase. 
# 
#  catalog_date:       The day in UTC time which events occurred. 
#  pct_complete:       Finalized events/(finalized + unreviewed + partial reviewed events) as % 
#                        NaN in this column means there were no events in this day.
#  unreviewed:         Number of real time detected events that have not gone through any review
#  incomplete:         Number of events that have gone through partial review
#  subtrig_cnt:        Number of subnet triggers 
#  max_unreviewed_mag: Highest magnitude of unreviewed event on this day in the catalog
#                        NA in this column means there were no unreviewed events in this day
###############################################################################################
#   
#catalog_date, pct_complete, unreviewed, incomplete, subtrig_cnt, max_unreviewed_mag
2001/01/01,76.7,0,10,0,NA
2001/01/02,46.2,0,21,0,NA
2001/01/03,38.7,0,19,0,NA
2001/01/04,28.6,0,35,0,NA
2001/01/05,32.4,0,25,0,NA
2001/01/06,50.0,0,13,0,NA
2001/01/07,32.4,0,25,0,NA
2001/01/08,37.9,0,18,0,NA
2001/01/09,41.2,0,20,0,NA
2001/01/10,38.7,0,19,0,NA
2001/01/11,34.3,0,23,0,NA
2001/01/12,53.3,0,14,0,NA
2001/01/13,15.4,0,22,1,NA
2001/01/14,51.1,0,23,0,NA
2001/01/15,34.1,0,27,0,NA
2001/01/16,3.3,0,29,0,NA
2001/01/17,21.4,0,33,1,NA
2001/01/18,15.4,0,33,1,NA
2001/01/19,41.5,0,24,2,NA
2001/01/20,7.7,0,24,0,NA
2001/01/21,16.7,0,30,0,NA
2001/01/22,17.9,0,32,0,NA
2001/01/23,20.0,0,24,2,NA
2001/01/24,14.7,0,29,0,NA
2001/01/25,18.2,0,27,1,NA
2001/01/26,27.0,0,27,1,NA
2001/01/27,22.5,0,31,0,NA
2001/01/28,15.9,0,37,1,NA
2001/01/29,19.4,0,25,1,NA
2001/01/30,10.9,0,41,0,NA
2001/01/31,35.5,0,20,0,NA
2001/02/01,7.5,0,49,1,NA
2001/02/02,8.8,0,31,1,NA
2001/02/03,2.4,0,40,0,NA
2001/02/04,4.8,0,40,0,NA
2001/02/05,11.1,0,32,0,NA
2001/02/06,15.0,0,34,0,NA
2001/02/07,4.0,0,24,0,NA
2001/02/08,18.8,0,26,0,NA
2001/02/09,24.3,0,28,0,NA
2001/02/10,20.0,0,52,0,NA
2001/02/11,26.6,0,58,1,NA
2001/02/12,22.7,0,34,0,NA
2001/02/13,23.5,0,26,1,NA
2001/02/14,7.9,0,35,1,NA
2001/02/15,0.0,0,31,1,NA
2001/02/16,20.7,0,46,5,NA
2001/02/17,0.0,0,26,5,NA
2001/02/18,0.0,0,40,0,NA
2001/02/19,6.5,0,29,0,NA
2001/02/20,7.7,0,36,0,NA
2001/02/21,7.9,0,35,1,NA
2001/02/22,10.6,0,42,1,NA
2001/02/23,13.8,0,25,2,NA
2001/02/24,0.0,0,43,4,NA
2001/02/25,4.4,0,43,2,NA
2001/02/26,2.3,0,42,2,NA
2001/02/27,0.0,0,29,0,NA
2001/02/28,5.6,0,51,1,NA
2001/03/01,7.7,0,72,0,NA
2001/03/02,12.0,0,44,0,NA
2001/03/03,4.2,0,23,1,NA
2001/03/04,0.0,0,23,1,NA
2001/03/05,5.0,0,19,1,NA
2001/03/06,14.3,0,24,2,NA
2001/03/07,5.3,0,36,6,NA
