###############################################################################################
#  The following is a listing of the event catalog processing status for year 1978
#  Historically, SCSN analysts have made an effort to review every event in    
#  our catalog. With the growth of the network and catalog, however, complete  
#  review has become more difficult with our limited staff. This is            
#  particularly true of the 2019 Ridgecrest sequence, which remains largely    
#  unreviewed below M2.5.
#  Below we provide information about the review status of the SCSN local event
#  catalog. We hope our catalog users will find this additional context useful.
#  Finalized events have undergone full review and analysis and are unlikely to
#  change. Subnet triggers are collections of phase picks that the real-time   
#  system could not associate into an event. Some of the triggers may be events
#  that are later added to the catalog, although most are just noise. Lastly,  
#  events are sometimes added to the catalog as part of the review process, so 
#  the total number of events can increase. 
# 
#  catalog_date:       The day in UTC time which events occurred. 
#  pct_complete:       Finalized events/(finalized + unreviewed + partial reviewed events) as % 
#                        NaN in this column means there were no events in this day.
#  unreviewed:         Number of real time detected events that have not gone through any review
#  incomplete:         Number of events that have gone through partial review
#  subtrig_cnt:        Number of subnet triggers 
#  max_unreviewed_mag: Highest magnitude of unreviewed event on this day in the catalog
#                        NA in this column means there were no unreviewed events in this day
###############################################################################################
#   
#catalog_date, pct_complete, unreviewed, incomplete, subtrig_cnt, max_unreviewed_mag
1978/01/01,100.0,0,0,0,NA
1978/01/02,100.0,0,0,0,NA
1978/01/03,100.0,0,0,0,NA
1978/01/04,100.0,0,0,0,NA
1978/01/05,100.0,0,0,0,NA
1978/01/06,100.0,0,0,0,NA
1978/01/07,100.0,0,0,0,NA
1978/01/08,100.0,0,0,0,NA
1978/01/09,100.0,0,0,0,NA
1978/01/10,100.0,0,0,0,NA
1978/01/11,100.0,0,0,0,NA
1978/01/12,100.0,0,0,0,NA
1978/01/13,100.0,0,0,0,NA
1978/01/14,100.0,0,0,0,NA
1978/01/15,100.0,0,0,0,NA
1978/01/16,100.0,0,0,0,NA
1978/01/17,100.0,0,0,0,NA
1978/01/18,100.0,0,0,0,NA
1978/01/19,100.0,0,0,0,NA
1978/01/20,100.0,0,0,0,NA
1978/01/21,100.0,0,0,0,NA
1978/01/22,100.0,0,0,0,NA
1978/01/23,100.0,0,0,0,NA
1978/01/24,100.0,0,0,0,NA
1978/01/25,100.0,0,0,0,NA
1978/01/26,100.0,0,0,0,NA
1978/01/27,100.0,0,0,0,NA
1978/01/28,100.0,0,0,0,NA
1978/01/29,100.0,0,0,0,NA
1978/01/30,100.0,0,0,0,NA
1978/01/31,100.0,0,0,0,NA
1978/02/01,100.0,0,0,0,NA
1978/02/02,100.0,0,0,0,NA
1978/02/03,100.0,0,0,0,NA
1978/02/04,100.0,0,0,0,NA
1978/02/05,100.0,0,0,0,NA
1978/02/06,98.0,0,1,0,NA
1978/02/07,100.0,0,0,0,NA
1978/02/08,94.4,0,1,0,NA
1978/02/09,100.0,0,0,0,NA
1978/02/10,100.0,0,0,0,NA
1978/02/11,100.0,0,0,0,NA
1978/02/12,90.0,0,1,0,NA
1978/02/13,100.0,0,0,0,NA
1978/02/14,100.0,0,0,0,NA
1978/02/15,93.8,0,1,0,NA
1978/02/16,90.0,0,2,0,NA
1978/02/17,100.0,0,0,0,NA
1978/02/18,100.0,0,0,0,NA
1978/02/19,100.0,0,0,0,NA
1978/02/20,100.0,0,0,0,NA
1978/02/21,100.0,0,0,0,NA
1978/02/22,100.0,0,0,0,NA
1978/02/23,100.0,0,0,0,NA
1978/02/24,93.8,0,1,0,NA
1978/02/25,100.0,0,0,0,NA
1978/02/26,100.0,0,0,0,NA
1978/02/27,100.0,0,0,0,NA
1978/02/28,100.0,0,0,0,NA
1978/03/01,57.9,0,8,0,NA
1978/03/02,100.0,0,0,0,NA
1978/03/03,89.5,0,2,0,NA
1978/03/04,100.0,0,0,0,NA
1978/03/05,100.0,0,0,0,NA
1978/03/06,100.0,0,0,0,NA
1978/03/07,100.0,0,0,0,NA
1978/03/08,100.0,0,0,0,NA
1978/03/09,100.0,0,0,0,NA
1978/03/10,100.0,0,0,0,NA
1978/03/11,100.0,0,0,0,NA
1978/03/12,100.0,0,0,0,NA
1978/03/13,100.0,0,0,0,NA
1978/03/14,94.9,0,2,0,NA
1978/03/15,96.9,0,1,0,NA
1978/03/16,100.0,0,0,0,NA
1978/03/17,100.0,0,0,0,NA
1978/03/18,100.0,0,0,0,NA
1978/03/19,100.0,0,0,0,NA
1978/03/20,100.0,0,0,0,NA
1978/03/21,95.7,0,1,0,NA
1978/03/22,100.0,0,0,0,NA
1978/03/23,100.0,0,0,0,NA
1978/03/24,91.7,0,1,0,NA
1978/03/25,100.0,0,0,0,NA
1978/03/26,100.0,0,0,0,NA
1978/03/27,94.4,0,1,0,NA
1978/03/28,100.0,0,0,0,NA
1978/03/29,100.0,0,0,0,NA
1978/03/30,100.0,0,0,0,NA
1978/03/31,100.0,0,0,0,NA
1978/04/01,100.0,0,0,0,NA
1978/04/02,100.0,0,0,0,NA
1978/04/03,100.0,0,0,0,NA
1978/04/04,100.0,0,0,0,NA
1978/04/05,100.0,0,0,0,NA
1978/04/06,91.7,0,1,0,NA
1978/04/07,100.0,0,0,0,NA
1978/04/08,90.0,0,1,0,NA
1978/04/09,100.0,0,0,0,NA
1978/04/10,91.7,0,1,0,NA
1978/04/11,95.8,0,1,0,NA
1978/04/12,100.0,0,0,0,NA
1978/04/13,96.3,0,1,0,NA
1978/04/14,100.0,0,0,0,NA
1978/04/15,100.0,0,0,0,NA
1978/04/16,100.0,0,0,0,NA
1978/04/17,100.0,0,0,0,NA
1978/04/18,94.4,0,1,0,NA
1978/04/19,100.0,0,0,0,NA
1978/04/20,100.0,0,0,0,NA
1978/04/21,100.0,0,0,0,NA
1978/04/22,100.0,0,0,0,NA
1978/04/23,100.0,0,0,0,NA
1978/04/24,100.0,0,0,0,NA
1978/04/25,100.0,0,0,0,NA
1978/04/26,100.0,0,0,0,NA
1978/04/27,95.0,0,1,0,NA
1978/04/28,100.0,0,0,0,NA
1978/04/29,100.0,0,0,0,NA
1978/04/30,100.0,0,0,0,NA
1978/05/01,95.0,0,1,0,NA
1978/05/02,100.0,0,0,0,NA
1978/05/03,100.0,0,0,0,NA
1978/05/04,100.0,0,0,0,NA
1978/05/05,92.3,0,1,0,NA
1978/05/06,100.0,0,0,0,NA
1978/05/07,100.0,0,0,0,NA
1978/05/08,100.0,0,0,0,NA
1978/05/09,100.0,0,0,0,NA
1978/05/10,95.2,0,1,0,NA
1978/05/11,100.0,0,0,0,NA
1978/05/12,100.0,0,0,0,NA
1978/05/13,100.0,0,0,0,NA
1978/05/14,100.0,0,0,0,NA
1978/05/15,92.9,0,1,0,NA
1978/05/16,100.0,0,0,0,NA
1978/05/17,100.0,0,0,0,NA
1978/05/18,100.0,0,0,0,NA
1978/05/19,100.0,0,0,0,NA
1978/05/20,100.0,0,0,0,NA
1978/05/21,100.0,0,0,0,NA
1978/05/22,100.0,0,0,0,NA
1978/05/23,100.0,0,0,0,NA
1978/05/24,100.0,0,0,0,NA
