###############################################################################################
#  The following is a listing of the event catalog processing status for year 1963
#  Historically, SCSN analysts have made an effort to review every event in    
#  our catalog. With the growth of the network and catalog, however, complete  
#  review has become more difficult with our limited staff. This is            
#  particularly true of the 2019 Ridgecrest sequence, which remains largely    
#  unreviewed below M2.5.
#  Below we provide information about the review status of the SCSN local event
#  catalog. We hope our catalog users will find this additional context useful.
#  Finalized events have undergone full review and analysis and are unlikely to
#  change. Subnet triggers are collections of phase picks that the real-time   
#  system could not associate into an event. Some of the triggers may be events
#  that are later added to the catalog, although most are just noise. Lastly,  
#  events are sometimes added to the catalog as part of the review process, so 
#  the total number of events can increase. 
# 
#  catalog_date:       The day in UTC time which events occurred. 
#  pct_complete:       Finalized events/(finalized + unreviewed + partial reviewed events) as % 
#                        NaN in this column means there were no events in this day.
#  unreviewed:         Number of real time detected events that have not gone through any review
#  incomplete:         Number of events that have gone through partial review
#  subtrig_cnt:        Number of subnet triggers 
#  max_unreviewed_mag: Highest magnitude of unreviewed event on this day in the catalog
#                        NA in this column means there were no unreviewed events in this day
###############################################################################################
#   
#catalog_date, pct_complete, unreviewed, incomplete, subtrig_cnt, max_unreviewed_mag
1963/01/01,100.0,0,0,0,NA
1963/01/02,NaN,0,0,0,NA
1963/01/03,NaN,0,0,0,NA
1963/01/04,NaN,0,0,0,NA
1963/01/05,NaN,0,0,0,NA
1963/01/06,NaN,0,0,0,NA
1963/01/07,NaN,0,0,0,NA
1963/01/08,NaN,0,0,0,NA
1963/01/09,100.0,0,0,0,NA
1963/01/10,NaN,0,0,0,NA
1963/01/11,100.0,0,0,0,NA
1963/01/12,100.0,0,0,0,NA
1963/01/13,100.0,0,0,0,NA
1963/01/14,100.0,0,0,0,NA
1963/01/15,100.0,0,0,0,NA
1963/01/16,100.0,0,0,0,NA
1963/01/17,NaN,0,0,0,NA
1963/01/18,NaN,0,0,0,NA
1963/01/19,NaN,0,0,0,NA
1963/01/20,NaN,0,0,0,NA
1963/01/21,NaN,0,0,0,NA
1963/01/22,NaN,0,0,0,NA
1963/01/23,NaN,0,0,0,NA
1963/01/24,NaN,0,0,0,NA
1963/01/25,100.0,0,0,0,NA
1963/01/26,NaN,0,0,0,NA
1963/01/27,100.0,0,0,0,NA
1963/01/28,NaN,0,0,0,NA
1963/01/29,0.0,0,1,0,NA
1963/01/30,NaN,0,0,0,NA
1963/01/31,100.0,0,0,0,NA
1963/02/01,100.0,0,0,0,NA
1963/02/02,NaN,0,0,0,NA
1963/02/03,100.0,0,0,0,NA
1963/02/04,NaN,0,0,0,NA
1963/02/05,NaN,0,0,0,NA
1963/02/06,NaN,0,0,0,NA
1963/02/07,NaN,0,0,0,NA
1963/02/08,NaN,0,0,0,NA
1963/02/09,NaN,0,0,0,NA
1963/02/10,NaN,0,0,0,NA
1963/02/11,100.0,0,0,0,NA
1963/02/12,100.0,0,0,0,NA
1963/02/13,NaN,0,0,0,NA
1963/02/14,NaN,0,0,0,NA
1963/02/15,NaN,0,0,0,NA
1963/02/16,NaN,0,0,0,NA
1963/02/17,NaN,0,0,0,NA
1963/02/18,100.0,0,0,0,NA
1963/02/19,100.0,0,0,0,NA
1963/02/20,NaN,0,0,0,NA
1963/02/21,100.0,0,0,0,NA
1963/02/22,100.0,0,0,0,NA
1963/02/23,NaN,0,0,0,NA
1963/02/24,NaN,0,0,0,NA
1963/02/25,NaN,0,0,0,NA
1963/02/26,NaN,0,0,0,NA
1963/02/27,100.0,0,0,0,NA
1963/02/28,NaN,0,0,0,NA
1963/03/01,100.0,0,0,0,NA
1963/03/02,100.0,0,0,0,NA
1963/03/03,NaN,0,0,0,NA
1963/03/04,100.0,0,0,0,NA
1963/03/05,NaN,0,0,0,NA
1963/03/06,NaN,0,0,0,NA
1963/03/07,NaN,0,0,0,NA
1963/03/08,100.0,0,0,0,NA
1963/03/09,NaN,0,0,0,NA
1963/03/10,100.0,0,0,0,NA
1963/03/11,100.0,0,0,0,NA
1963/03/12,100.0,0,0,0,NA
1963/03/13,NaN,0,0,0,NA
1963/03/14,100.0,0,0,0,NA
1963/03/15,100.0,0,0,0,NA
1963/03/16,100.0,0,0,0,NA
1963/03/17,100.0,0,0,0,NA
1963/03/18,NaN,0,0,0,NA
1963/03/19,NaN,0,0,0,NA
1963/03/20,100.0,0,0,0,NA
1963/03/21,NaN,0,0,0,NA
1963/03/22,100.0,0,0,0,NA
1963/03/23,100.0,0,0,0,NA
1963/03/24,100.0,0,0,0,NA
1963/03/25,100.0,0,0,0,NA
1963/03/26,100.0,0,0,0,NA
1963/03/27,100.0,0,0,0,NA
1963/03/28,NaN,0,0,0,NA
1963/03/29,NaN,0,0,0,NA
1963/03/30,100.0,0,0,0,NA
1963/03/31,NaN,0,0,0,NA
1963/04/01,100.0,0,0,0,NA
1963/04/02,100.0,0,0,0,NA
1963/04/03,100.0,0,0,0,NA
1963/04/04,NaN,0,0,0,NA
1963/04/05,NaN,0,0,0,NA
1963/04/06,NaN,0,0,0,NA
1963/04/07,NaN,0,0,0,NA
1963/04/08,NaN,0,0,0,NA
1963/04/09,NaN,0,0,0,NA
1963/04/10,100.0,0,0,0,NA
1963/04/11,100.0,0,0,0,NA
1963/04/12,100.0,0,0,0,NA
1963/04/13,NaN,0,0,0,NA
1963/04/14,NaN,0,0,0,NA
1963/04/15,NaN,0,0,0,NA
1963/04/16,NaN,0,0,0,NA
1963/04/17,NaN,0,0,0,NA
1963/04/18,NaN,0,0,0,NA
1963/04/19,100.0,0,0,0,NA
1963/04/20,NaN,0,0,0,NA
1963/04/21,100.0,0,0,0,NA
1963/04/22,NaN,0,0,0,NA
1963/04/23,NaN,0,0,0,NA
1963/04/24,NaN,0,0,0,NA
1963/04/25,NaN,0,0,0,NA
1963/04/26,100.0,0,0,0,NA
1963/04/27,100.0,0,0,0,NA
1963/04/28,NaN,0,0,0,NA
1963/04/29,NaN,0,0,0,NA
1963/04/30,100.0,0,0,0,NA
1963/05/01,100.0,0,0,0,NA
1963/05/02,NaN,0,0,0,NA
1963/05/03,NaN,0,0,0,NA
1963/05/04,100.0,0,0,0,NA
1963/05/05,100.0,0,0,0,NA
1963/05/06,100.0,0,0,0,NA
1963/05/07,100.0,0,0,0,NA
1963/05/08,100.0,0,0,0,NA
1963/05/09,NaN,0,0,0,NA
1963/05/10,NaN,0,0,0,NA
1963/05/11,100.0,0,0,0,NA
1963/05/12,NaN,0,0,0,NA
1963/05/13,NaN,0,0,0,NA
1963/05/14,100.0,0,0,0,NA
1963/05/15,100.0,0,0,0,NA
1963/05/16,NaN,0,0,0,NA
1963/05/17,100.0,0,0,0,NA
1963/05/18,NaN,0,0,0,NA
1963/05/19,NaN,0,0,0,NA
1963/05/20,NaN,0,0,0,NA
1963/05/21,NaN,0,0,0,NA
1963/05/22,100.0,0,0,0,NA
1963/05/23,100.0,0,0,0,NA
1963/05/24,100.0,0,0,0,NA
1963/05/25,NaN,0,0,0,NA
1963/05/26,100.0,0,0,0,NA
1963/05/27,NaN,0,0,0,NA
1963/05/28,100.0,0,0,0,NA
1963/05/29,NaN,0,0,0,NA
1963/05/30,NaN,0,0,0,NA
1963/05/31,100.0,0,0,0,NA
1963/06/01,100.0,0,0,0,NA
1963/06/02,NaN,0,0,0,NA
1963/06/03,NaN,0,0,0,NA
1963/06/04,NaN,0,0,0,NA
1963/06/05,100.0,0,0,0,NA
1963/06/06,NaN,0,0,0,NA
1963/06/07,100.0,0,0,0,NA
1963/06/08,NaN,0,0,0,NA
1963/06/09,NaN,0,0,0,NA
1963/06/10,NaN,0,0,0,NA
1963/06/11,100.0,0,0,0,NA
1963/06/12,100.0,0,0,0,NA
1963/06/13,NaN,0,0,0,NA
1963/06/14,NaN,0,0,0,NA
1963/06/15,100.0,0,0,0,NA
1963/06/16,NaN,0,0,0,NA
1963/06/17,NaN,0,0,0,NA
1963/06/18,NaN,0,0,0,NA
1963/06/19,NaN,0,0,0,NA
1963/06/20,100.0,0,0,0,NA
1963/06/21,100.0,0,0,0,NA
1963/06/22,NaN,0,0,0,NA
1963/06/23,100.0,0,0,0,NA
1963/06/24,NaN,0,0,0,NA
1963/06/25,100.0,0,0,0,NA
1963/06/26,100.0,0,0,0,NA
1963/06/27,NaN,0,0,0,NA
1963/06/28,NaN,0,0,0,NA
1963/06/29,NaN,0,0,0,NA
1963/06/30,NaN,0,0,0,NA
1963/07/01,NaN,0,0,0,NA
1963/07/02,100.0,0,0,0,NA
1963/07/03,NaN,0,0,0,NA
1963/07/04,100.0,0,0,0,NA
