###############################################################################################
#  The following is a listing of the event catalog processing status for year 1964
#  Historically, SCSN analysts have made an effort to review every event in    
#  our catalog. With the growth of the network and catalog, however, complete  
#  review has become more difficult with our limited staff. This is            
#  particularly true of the 2019 Ridgecrest sequence, which remains largely    
#  unreviewed below M2.5.
#  Below we provide information about the review status of the SCSN local event
#  catalog. We hope our catalog users will find this additional context useful.
#  Finalized events have undergone full review and analysis and are unlikely to
#  change. Subnet triggers are collections of phase picks that the real-time   
#  system could not associate into an event. Some of the triggers may be events
#  that are later added to the catalog, although most are just noise. Lastly,  
#  events are sometimes added to the catalog as part of the review process, so 
#  the total number of events can increase. 
# 
#  catalog_date:       The day in UTC time which events occurred. 
#  pct_complete:       Finalized events/(finalized + unreviewed + partial reviewed events) as % 
#                        NaN in this column means there were no events in this day.
#  unreviewed:         Number of real time detected events that have not gone through any review
#  incomplete:         Number of events that have gone through partial review
#  subtrig_cnt:        Number of subnet triggers 
#  max_unreviewed_mag: Highest magnitude of unreviewed event on this day in the catalog
#                        NA in this column means there were no unreviewed events in this day
###############################################################################################
#   
#catalog_date, pct_complete, unreviewed, incomplete, subtrig_cnt, max_unreviewed_mag
1964/01/01,NaN,0,0,0,NA
1964/01/02,100.0,0,0,0,NA
1964/01/03,100.0,0,0,0,NA
1964/01/04,NaN,0,0,0,NA
1964/01/05,100.0,0,0,0,NA
1964/01/06,100.0,0,0,0,NA
1964/01/07,100.0,0,0,0,NA
1964/01/08,NaN,0,0,0,NA
1964/01/09,NaN,0,0,0,NA
1964/01/10,NaN,0,0,0,NA
1964/01/11,100.0,0,0,0,NA
1964/01/12,NaN,0,0,0,NA
1964/01/13,NaN,0,0,0,NA
1964/01/14,NaN,0,0,0,NA
1964/01/15,NaN,0,0,0,NA
1964/01/16,100.0,0,0,0,NA
1964/01/17,NaN,0,0,0,NA
1964/01/18,NaN,0,0,0,NA
1964/01/19,100.0,0,0,0,NA
1964/01/20,NaN,0,0,0,NA
1964/01/21,NaN,0,0,0,NA
1964/01/22,NaN,0,0,0,NA
1964/01/23,100.0,0,0,0,NA
1964/01/24,100.0,0,0,0,NA
1964/01/25,NaN,0,0,0,NA
1964/01/26,NaN,0,0,0,NA
1964/01/27,NaN,0,0,0,NA
1964/01/28,NaN,0,0,0,NA
1964/01/29,NaN,0,0,0,NA
1964/01/30,100.0,0,0,0,NA
1964/01/31,100.0,0,0,0,NA
1964/02/01,100.0,0,0,0,NA
1964/02/02,100.0,0,0,0,NA
1964/02/03,NaN,0,0,0,NA
1964/02/04,NaN,0,0,0,NA
1964/02/05,100.0,0,0,0,NA
1964/02/06,NaN,0,0,0,NA
1964/02/07,100.0,0,0,0,NA
1964/02/08,100.0,0,0,0,NA
1964/02/09,100.0,0,0,0,NA
1964/02/10,NaN,0,0,0,NA
1964/02/11,100.0,0,0,0,NA
1964/02/12,NaN,0,0,0,NA
1964/02/13,NaN,0,0,0,NA
1964/02/14,100.0,0,0,0,NA
1964/02/15,100.0,0,0,0,NA
1964/02/16,NaN,0,0,0,NA
1964/02/17,100.0,0,0,0,NA
1964/02/18,NaN,0,0,0,NA
1964/02/19,NaN,0,0,0,NA
1964/02/20,100.0,0,0,0,NA
1964/02/21,NaN,0,0,0,NA
1964/02/22,100.0,0,0,0,NA
1964/02/23,NaN,0,0,0,NA
1964/02/24,100.0,0,0,0,NA
1964/02/25,NaN,0,0,0,NA
1964/02/26,NaN,0,0,0,NA
1964/02/27,100.0,0,0,0,NA
1964/02/28,100.0,0,0,0,NA
1964/02/29,100.0,0,0,0,NA
1964/03/01,100.0,0,0,0,NA
1964/03/02,NaN,0,0,0,NA
1964/03/03,NaN,0,0,0,NA
1964/03/04,NaN,0,0,0,NA
1964/03/05,100.0,0,0,0,NA
1964/03/06,NaN,0,0,0,NA
1964/03/07,NaN,0,0,0,NA
1964/03/08,NaN,0,0,0,NA
1964/03/09,100.0,0,0,0,NA
1964/03/10,NaN,0,0,0,NA
1964/03/11,NaN,0,0,0,NA
1964/03/12,NaN,0,0,0,NA
1964/03/13,NaN,0,0,0,NA
1964/03/14,NaN,0,0,0,NA
1964/03/15,100.0,0,0,0,NA
1964/03/16,100.0,0,0,0,NA
1964/03/17,NaN,0,0,0,NA
1964/03/18,100.0,0,0,0,NA
1964/03/19,NaN,0,0,0,NA
1964/03/20,NaN,0,0,0,NA
1964/03/21,100.0,0,0,0,NA
1964/03/22,NaN,0,0,0,NA
1964/03/23,NaN,0,0,0,NA
1964/03/24,100.0,0,0,0,NA
1964/03/25,100.0,0,0,0,NA
1964/03/26,100.0,0,0,0,NA
1964/03/27,NaN,0,0,0,NA
1964/03/28,NaN,0,0,0,NA
1964/03/29,NaN,0,0,0,NA
1964/03/30,NaN,0,0,0,NA
1964/03/31,NaN,0,0,0,NA
1964/04/01,NaN,0,0,0,NA
1964/04/02,NaN,0,0,0,NA
1964/04/03,NaN,0,0,0,NA
1964/04/04,100.0,0,0,0,NA
1964/04/05,NaN,0,0,0,NA
1964/04/06,NaN,0,0,0,NA
1964/04/07,NaN,0,0,0,NA
1964/04/08,NaN,0,0,0,NA
1964/04/09,NaN,0,0,0,NA
1964/04/10,100.0,0,0,0,NA
1964/04/11,NaN,0,0,0,NA
1964/04/12,100.0,0,0,0,NA
1964/04/13,NaN,0,0,0,NA
1964/04/14,NaN,0,0,0,NA
1964/04/15,100.0,0,0,0,NA
1964/04/16,100.0,0,0,0,NA
1964/04/17,NaN,0,0,0,NA
1964/04/18,100.0,0,0,0,NA
1964/04/19,NaN,0,0,0,NA
1964/04/20,NaN,0,0,0,NA
1964/04/21,NaN,0,0,0,NA
1964/04/22,NaN,0,0,0,NA
1964/04/23,100.0,0,0,0,NA
1964/04/24,100.0,0,0,0,NA
1964/04/25,NaN,0,0,0,NA
1964/04/26,100.0,0,0,0,NA
1964/04/27,NaN,0,0,0,NA
1964/04/28,NaN,0,0,0,NA
1964/04/29,100.0,0,0,0,NA
1964/04/30,NaN,0,0,0,NA
1964/05/01,NaN,0,0,0,NA
1964/05/02,NaN,0,0,0,NA
1964/05/03,NaN,0,0,0,NA
1964/05/04,NaN,0,0,0,NA
1964/05/05,NaN,0,0,0,NA
1964/05/06,100.0,0,0,0,NA
1964/05/07,NaN,0,0,0,NA
1964/05/08,100.0,0,0,0,NA
1964/05/09,100.0,0,0,0,NA
1964/05/10,NaN,0,0,0,NA
1964/05/11,100.0,0,0,0,NA
1964/05/12,NaN,0,0,0,NA
1964/05/13,NaN,0,0,0,NA
1964/05/14,100.0,0,0,0,NA
1964/05/15,100.0,0,0,0,NA
1964/05/16,NaN,0,0,0,NA
1964/05/17,NaN,0,0,0,NA
1964/05/18,100.0,0,0,0,NA
1964/05/19,NaN,0,0,0,NA
1964/05/20,NaN,0,0,0,NA
1964/05/21,NaN,0,0,0,NA
1964/05/22,100.0,0,0,0,NA
1964/05/23,NaN,0,0,0,NA
1964/05/24,100.0,0,0,0,NA
1964/05/25,NaN,0,0,0,NA
1964/05/26,100.0,0,0,0,NA
1964/05/27,NaN,0,0,0,NA
1964/05/28,NaN,0,0,0,NA
1964/05/29,NaN,0,0,0,NA
1964/05/30,NaN,0,0,0,NA
1964/05/31,100.0,0,0,0,NA
1964/06/01,NaN,0,0,0,NA
1964/06/02,NaN,0,0,0,NA
1964/06/03,NaN,0,0,0,NA
1964/06/04,100.0,0,0,0,NA
1964/06/05,100.0,0,0,0,NA
1964/06/06,100.0,0,0,0,NA
1964/06/07,100.0,0,0,0,NA
1964/06/08,NaN,0,0,0,NA
1964/06/09,100.0,0,0,0,NA
1964/06/10,NaN,0,0,0,NA
1964/06/11,NaN,0,0,0,NA
1964/06/12,NaN,0,0,0,NA
1964/06/13,100.0,0,0,0,NA
1964/06/14,100.0,0,0,0,NA
1964/06/15,NaN,0,0,0,NA
1964/06/16,NaN,0,0,0,NA
1964/06/17,100.0,0,0,0,NA
1964/06/18,NaN,0,0,0,NA
1964/06/19,NaN,0,0,0,NA
1964/06/20,100.0,0,0,0,NA
1964/06/21,100.0,0,0,0,NA
1964/06/22,NaN,0,0,0,NA
1964/06/23,100.0,0,0,0,NA
1964/06/24,100.0,0,0,0,NA
1964/06/25,NaN,0,0,0,NA
1964/06/26,NaN,0,0,0,NA
1964/06/27,NaN,0,0,0,NA
1964/06/28,NaN,0,0,0,NA
1964/06/29,NaN,0,0,0,NA
1964/06/30,NaN,0,0,0,NA
1964/07/01,NaN,0,0,0,NA
1964/07/02,NaN,0,0,0,NA
1964/07/03,NaN,0,0,0,NA
1964/07/04,100.0,0,0,0,NA
1964/07/05,NaN,0,0,0,NA
1964/07/06,NaN,0,0,0,NA
1964/07/07,100.0,0,0,0,NA
1964/07/08,100.0,0,0,0,NA
1964/07/09,100.0,0,0,0,NA
1964/07/10,NaN,0,0,0,NA
1964/07/11,NaN,0,0,0,NA
1964/07/12,100.0,0,0,0,NA
1964/07/13,100.0,0,0,0,NA
1964/07/14,NaN,0,0,0,NA
1964/07/15,100.0,0,0,0,NA
1964/07/16,NaN,0,0,0,NA
1964/07/17,NaN,0,0,0,NA
1964/07/18,NaN,0,0,0,NA
1964/07/19,100.0,0,0,0,NA
1964/07/20,NaN,0,0,0,NA
1964/07/21,NaN,0,0,0,NA
1964/07/22,100.0,0,0,0,NA
1964/07/23,NaN,0,0,0,NA
1964/07/24,NaN,0,0,0,NA
1964/07/25,NaN,0,0,0,NA
1964/07/26,NaN,0,0,0,NA
1964/07/27,NaN,0,0,0,NA
1964/07/28,NaN,0,0,0,NA
1964/07/29,NaN,0,0,0,NA
1964/07/30,NaN,0,0,0,NA
1964/07/31,NaN,0,0,0,NA
1964/08/01,100.0,0,0,0,NA
1964/08/02,NaN,0,0,0,NA
1964/08/03,100.0,0,0,0,NA
1964/08/04,100.0,0,0,0,NA
1964/08/05,NaN,0,0,0,NA
1964/08/06,NaN,0,0,0,NA
1964/08/07,NaN,0,0,0,NA
1964/08/08,NaN,0,0,0,NA
1964/08/09,NaN,0,0,0,NA
1964/08/10,NaN,0,0,0,NA
1964/08/11,NaN,0,0,0,NA
1964/08/12,NaN,0,0,0,NA
1964/08/13,NaN,0,0,0,NA
1964/08/14,NaN,0,0,0,NA
1964/08/15,NaN,0,0,0,NA
1964/08/16,NaN,0,0,0,NA
1964/08/17,100.0,0,0,0,NA
1964/08/18,100.0,0,0,0,NA
1964/08/19,NaN,0,0,0,NA
1964/08/20,NaN,0,0,0,NA
1964/08/21,100.0,0,0,0,NA
1964/08/22,NaN,0,0,0,NA
1964/08/23,100.0,0,0,0,NA
1964/08/24,NaN,0,0,0,NA
1964/08/25,NaN,0,0,0,NA
1964/08/26,NaN,0,0,0,NA
1964/08/27,NaN,0,0,0,NA
1964/08/28,NaN,0,0,0,NA
1964/08/29,NaN,0,0,0,NA
1964/08/30,100.0,0,0,0,NA
1964/08/31,100.0,0,0,0,NA
1964/09/01,100.0,0,0,0,NA
1964/09/02,NaN,0,0,0,NA
1964/09/03,NaN,0,0,0,NA
1964/09/04,100.0,0,0,0,NA
1964/09/05,NaN,0,0,0,NA
1964/09/06,100.0,0,0,0,NA
1964/09/07,NaN,0,0,0,NA
1964/09/08,NaN,0,0,0,NA
1964/09/09,NaN,0,0,0,NA
1964/09/10,100.0,0,0,0,NA
1964/09/11,NaN,0,0,0,NA
1964/09/12,100.0,0,0,0,NA
1964/09/13,NaN,0,0,0,NA
1964/09/14,100.0,0,0,0,NA
1964/09/15,100.0,0,0,0,NA
1964/09/16,100.0,0,0,0,NA
1964/09/17,NaN,0,0,0,NA
1964/09/18,NaN,0,0,0,NA
1964/09/19,100.0,0,0,0,NA
1964/09/20,NaN,0,0,0,NA
1964/09/21,NaN,0,0,0,NA
